index,zone_index,zone,z_bottom_mm,z_top_mm,height_mm,r_inner_mid_mm,r_outer_mid_mm,tracks,pitch_mm,exact_volume_mm3,deposit_area_mm2,active_time_min,dwell_s,cycle_time_min
1,1,FLANGE_NARROW,0.0,1.5333333124717077,1.5333333124717077,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116567,3.9003732470084778,14.611170440274927,0.0,14.639527404411707
2,1,FLANGE_NARROW,1.5333333124717077,3.0666666249434154,1.5333333124717077,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116567,3.9003732470084778,14.611170440274927,0.0,14.639527404411707
3,1,FLANGE_NARROW,3.0666666249434154,4.599999937415123,1.5333333124717075,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116564,3.9003732470084773,14.611170440274927,0.0,14.639527404411707
4,1,FLANGE_NARROW,4.599999937415123,6.133333249886831,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
5,1,FLANGE_NARROW,6.133333249886831,7.666666562358539,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
6,1,FLANGE_NARROW,7.666666562358539,9.199999874830246,1.533333312471707,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116553,3.900373247008476,14.611170440274927,0.0,14.639527404411707
7,1,FLANGE_NARROW,9.199999874830246,10.733333187301954,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
8,1,FLANGE_NARROW,10.733333187301954,12.266666499773661,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
9,1,FLANGE_NARROW,12.266666499773661,13.79999981224537,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
10,1,FLANGE_NARROW,13.79999981224537,15.333333124717077,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
11,1,FLANGE_NARROW,15.333333124717077,16.866666437188783,1.5333333124717061,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.40150911654,3.900373247008474,14.611170440274927,0.0,14.639527404411707
12,1,FLANGE_NARROW,16.866666437188783,18.39999974966049,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
13,1,FLANGE_NARROW,18.39999974966049,19.9333330621322,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
14,1,FLANGE_NARROW,19.9333330621322,21.466666374603907,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
15,1,FLANGE_NARROW,21.466666374603907,22.999999687075615,1.533333312471708,20.000007180207632,82.00000970089991,24,2.583333438362178,30463.401509116575,3.9003732470084786,14.611170440274927,0.0,14.639527404411707
16,2,HUB_WIDE,22.999999687075615,24.44117626986083,1.4411765827852143,20.000007180207632,37.73530065501805,5,3.5470586949620837,4636.143183964083,5.015594566913847,3.0358632193494577,116.1467889908257,5.0
17,2,HUB_WIDE,24.44117626986083,25.882352852646044,1.4411765827852143,20.000007180207632,37.20588844759137,5,3.4411762534767476,4456.5120545226855,4.867155066204121,3.0358632193494577,116.1467889908257,5.0
18,2,HUB_WIDE,25.882352852646044,27.323529435431254,1.4411765827852108,20.000007180207632,36.67647624016468,5,3.33529381199141,4279.4188862185065,4.718651540701046,3.0358632193494577,116.1467889908257,5.0
19,2,HUB_WIDE,27.323529435431254,28.76470601821647,1.4411765827852143,20.000007180207632,36.147064032738,5,3.2294113705060736,4104.863679051582,4.570082343602543,3.0358632193494577,116.1467889908257,5.0
20,2,HUB_WIDE,28.76470601821647,30.205882601001683,1.4411765827852143,20.000007180207632,35.61765182531131,4,3.9044111612759203,3932.8464425088,5.518049414415963,2.427022518765638,152.67723102585487,5.0
