layer,zone,kind,index,radius_start_mm,radius_end_mm,c_deg,length_mm,time_min,c_speed_deg_min,linear_speed_mm_s,e0_ma,e2_mm_s,deposit_area_mm2,line_energy_j_mm,volume_energy_j_mm3,deposited_volume_mm3,contour
1,FLANGE_NARROW,RING,1,21.29167389938872,21.29167389938872,360.0,133.7795326098983,0.6005004170141784,599.5,3.713001379612687,25.0,13.201010356765746,3.9003732470084778,403.9858450460552,103.57620142018605,521.7901099889456,True
1,FLANGE_NARROW,RADIAL_LINK,1,21.29167389938872,23.8750073377509,5.0,3.249648059912887,0.008340283569641367,599.5,6.493880039725919,25.0,23.08800048680793,3.9003732470084778,230.9867122311839,59.221694336137425,12.674840355077228,False
1,FLANGE_NARROW,RING,2,23.8750073377509,23.8750073377509,360.0,150.01109531336127,0.6005004170141784,599.5,4.163502390757412,25.0,14.8026980228434,3.9003732470084778,360.2736012184983,92.36900634953905,585.0992629146731,False
1,FLANGE_NARROW,RADIAL_LINK,2,23.8750073377509,26.458340776113076,5.0,3.391075007305256,0.008340283569641367,599.5,6.77649822293167,25.0,24.09280635194838,3.9003732470084778,221.35326397991224,56.75181577806344,13.226458237092498,False
1,FLANGE_NARROW,RING,3,26.458340776113076,26.458340776113076,360.0,166.2426580168242,0.6005004170141784,599.5,4.614003401902135,25.0,16.40438568892105,3.9003732470084778,325.09728956455064,83.35030238808424,648.4084158404006,False
1,FLANGE_NARROW,RADIAL_LINK,3,26.458340776113076,29.041674214475258,5.0,3.541218207844852,0.008340283569641367,599.5,7.0765343853432965,25.0,25.159539186777895,3.9003732470084778,211.96816383832663,54.345610128698,13.812072759697369,False
1,FLANGE_NARROW,RING,4,29.041674214475258,29.041674214475258,360.0,182.47422072028718,0.6005004170141784,599.5,5.064504413046859,25.0,18.006073354998698,3.9003732470084778,296.179029114042,75.93607338508089,711.7175687661281,False
1,FLANGE_NARROW,RADIAL_LINK,4,29.041674214475258,31.625007652837432,5.0,3.6990165995918476,0.008340283569641367,599.5,7.391868171517709,25.0,26.280660390767533,3.9003732470084778,202.92569688672057,52.02725073615999,14.427545385288314,False
1,FLANGE_NARROW,RING,5,31.625007652837432,31.625007652837432,360.0,198.70578342375012,0.6005004170141784,599.5,5.515005424191584,25.0,19.607761021076353,3.9003732470084778,271.9852266001855,69.73312792789606,775.0267216918556,False
1,FLANGE_NARROW,RADIAL_LINK,5,31.625007652837432,34.208341091199614,5.0,3.8635323406295163,0.008340283569641367,599.5,7.720625460691317,25.0,27.449506813252768,3.9003732470084778,194.28477752703827,49.81184241176187,15.06921818034341,False
