layer,z,current_ma,current_required_ma,current_clipped_by_min,current_clipped_by_max,travel_mm_min,wire_mm_s,energy_target_j_mm,energy_actual_j_mm,energy_j_mm3,pause_s,hatch_segments,contour_segments,hatch_length_mm,contour_length_mm
1,0.000,28.528,28.528,0,0,650.0,38.315,158.00,158.00,39.50,0.100,576,0,230.459,0.000
2,2.000,28.478,28.478,0,0,653.0,38.492,157.00,157.00,39.25,0.118,576,0,262.473,0.000
3,4.000,28.427,28.427,0,0,656.0,38.669,156.00,156.00,39.00,0.135,192,0,144.464,0.000
4,6.000,28.374,28.374,0,0,659.0,38.846,155.00,155.00,38.75,0.152,192,0,170.201,0.000
5,8.000,28.319,28.319,0,0,662.0,39.022,154.00,154.00,38.50,0.170,192,0,200.243,0.000
